Q1,Q2,Q3,Q4,Q5_Partner,Q5_Friends,Q5_Siblings,Q5_Co-worker,Q6_Skyscrapers,Q6_Sport,Q6_Art_and_Music,Q6_Carnival,Q6_Cuisine,Q6_Economic,Q7_capped,Q8_capped,Q9_capped,Q10_wordcount,Q10_kw_tallest,Q10_kw_carnival,Q10_kw_eiffel,Q10_kw_skyscraper,Label
4,1.0,2.0,1,0,0,0,1,6.0,4.0,2.0,1.0,3.0,5.0,25.0,7.0,100.0,1,0,0,0,0,Dubai
5,4.0,5.0,1,1,1,0,0,6.0,2.0,3.0,3.0,4.0,5.0,32.0,5.0,4.0,2,0,0,0,0,Dubai
5,4.0,4.0,1,1,1,0,0,6.0,5.0,1.0,2.0,4.0,3.0,23.0,10.0,3.0,6,0,0,0,0,Dubai
4,3.0,3.0,3,1,1,1,0,6.0,4.0,1.0,2.0,3.0,5.0,20.0,10.0,5.0,13,0,0,0,0,Dubai
3,4.0,5.0,4,0,1,0,0,6.0,1.0,4.0,3.0,2.0,5.0,10.0,3.0,10.0,1,0,0,0,0,Dubai
4,2.0,3.0,2,1,1,1,0,5.0,1.0,3.0,2.0,4.0,6.0,25.0,3.0,4.0,5,1,0,0,0,Dubai
4,3.0,4.0,4,0,1,0,0,6.0,3.0,2.0,1.0,4.0,5.0,22.0,3.0,2.0,10,0,0,0,0,Dubai
3,4.0,3.0,2,1,0,1,0,4.0,2.0,3.0,1.0,6.0,5.0,25.0,10.0,5.0,8,0,0,0,0,Dubai
2,2.0,3.0,1,0,0,1,0,5.0,5.0,2.0,1.0,3.0,3.0,30.0,2.0,1.0,1,0,0,0,0,Dubai
5,5.0,5.0,1,1,1,0,0,6.0,2.0,2.0,2.0,3.0,5.0,30.0,14.680000000000064,50.0,12,0,0,0,0,Dubai
5,4.0,5.0,2,0,1,0,0,6.0,1.0,2.0,4.0,3.0,5.0,25.0,5.0,3.0,5,0,0,0,0,Dubai
5,4.0,5.0,5,1,1,1,1,6.0,1.0,2.0,3.0,4.0,5.0,20.0,3.0,5.0,8,0,0,0,0,Dubai
4,3.0,2.0,3,0,1,0,0,6.0,5.0,2.0,1.0,3.0,4.0,-5.0,1.0,1.0,19,0,0,0,0,Dubai
4,4.0,5.0,3,1,1,1,0,6.0,4.0,2.0,1.0,3.0,5.0,25.0,2.0,5.0,5,1,0,0,1,Dubai
